suburb,state,latitude,longitude,assigned_region
Coffs Harbour,NSW,-30.2963,153.1135,
Coffs Harbour Jetty,NSW,-30.2818,153.0168,
Sapphire Beach,NSW,-30.2261,153.1363,
Moonee Beach,NSW,-30.2057,153.1529,
Corindi Beach,NSW,-30.0167,153.1856,
Mullaway,NSW,-30.0804,153.1959,
Woolgoolga,NSW,-30.1106,153.2007,
Arrawarra Headland,NSW,-30.0703,153.1974,
Safety Beach,NSW,-30.0929,153.1947,
Emerald Beach,NSW,-30.1639,153.1819,
Arrawarra,NSW,-30.0606,153.1907,
Red Rock,NSW,-29.9845,153.2262,
Sandy Beach,NSW,-30.1468,153.1924,
